tags.mlflow.runName,params.model_type,metrics.recall_at_k,metrics.hitrate_at_k,metrics.ndcg_at_k,metrics.map_at_k,metrics.runtime_seconds
hparam_item_item_mip8000_miu30_tn50,item_item_covisit,0.019513221596268823,0.03432820080151867,0.01366818574678765,0.009458996248491194,10.907522201538086
hparam_item_item_mip8000_miu30_tn200,item_item_covisit,0.019432312424462556,0.034275469310272096,0.013650563227759706,0.009462522916077772,13.364732265472412
hparam_item_item_mip8000_miu30_tn100,item_item_covisit,0.019464691774585735,0.034117274836532374,0.013647282332748062,0.00945799139073708,13.101269245147705
hparam_item_item_mip8000_miu20_tn200,item_item_covisit,0.019274635996818612,0.03401181185403923,0.01359536491015756,0.009456411413964446,13.37420392036438
hparam_item_item_mip8000_miu20_tn100,item_item_covisit,0.019283864007786762,0.03401181185403923,0.01359392626594425,0.009452097685027748,14.21617341041565
hparam_item_item_mip8000_miu20_tn50,item_item_covisit,0.019272975291791852,0.03374815439780637,0.013577487426582652,0.009448451370165822,10.999556064605713
hparam_item_item_mip8000_miu50_tn50,item_item_covisit,0.019264910942775076,0.0340645433452858,0.01357282406482403,0.009405687944281746,32.69874358177185
hparam_item_item_mip8000_miu50_tn200,item_item_covisit,0.019251902299126225,0.03401181185403923,0.013539461177146465,0.009375103754091573,25.864468336105347
hparam_item_item_mip8000_miu50_tn100,item_item_covisit,0.01922623897001749,0.03401181185403923,0.013536690259161035,0.009375939890006015,21.14069390296936
hparam_item_item_mip5000_miu50_tn200,item_item_covisit,0.015190520653796004,0.02773676439569711,0.010870093228375429,0.007500646812722136,8.794211626052856
hparam_item_item_mip5000_miu50_tn100,item_item_covisit,0.015180513846603277,0.02768403290445054,0.010862575129766468,0.007497648929793858,7.564886569976807
hparam_item_item_mip5000_miu50_tn50,item_item_covisit,0.015175137041788552,0.027631301413203965,0.010850732399544108,0.007496629872800325,8.263431072235107
hparam_item_item_mip5000_miu30_tn200,item_item_covisit,0.015028118512026789,0.027473106939464247,0.010797729569521559,0.007468894747544896,8.652924299240112
hparam_item_item_mip5000_miu30_tn50,item_item_covisit,0.015017560596643099,0.027420375448217675,0.010786553097090163,0.007466972594013114,8.042638540267944
baseline_item_item_covisit,item_item_covisit,0.015021343495295545,0.027420375448217675,0.010773657869910936,0.007451665465161902,1.1168925762176514
hparam_item_item_mip5000_miu30_tn100,item_item_covisit,0.015021343495295545,0.027420375448217675,0.010773657869910936,0.007451665465161902,8.550215482711792
baseline_item_item_covisit,item_item_covisit,0.015021343495295545,0.027420375448217675,0.010773657869910936,0.007451665465161902,1.2576587200164795
hparam_item_item_mip5000_miu20_tn50,item_item_covisit,0.01488821331813247,0.027314912465724532,0.010740403311472663,0.007445377269706073,9.685681343078613
hparam_item_item_mip5000_miu20_tn100,item_item_covisit,0.014925118898083083,0.027367643956971104,0.01073414844780529,0.007424384242260029,7.812256813049316
hparam_item_item_mip5000_miu20_tn200,item_item_covisit,0.014872723276207511,0.027314912465724532,0.010728590996711685,0.007430640875546826,8.376755952835083
hparam_item_item_mip3000_miu50_tn200,item_item_covisit,0.012083312052754973,0.02256907825353301,0.00884070426430926,0.006133582902154745,8.433088779449463
hparam_item_item_mip3000_miu50_tn100,item_item_covisit,0.012071912999952866,0.02251634676228644,0.00883606126098458,0.006132298095185483,7.873018026351929
hparam_item_item_mip3000_miu50_tn50,item_item_covisit,0.012013762001309726,0.022410883779793292,0.008821652122732957,0.006135417344244408,7.177446365356445
hparam_item_item_mip3000_miu20_tn200,item_item_covisit,0.01199696958591498,0.022463615271039863,0.008818529801729333,0.006134838015275951,8.413782358169556
hparam_item_item_mip3000_miu20_tn100,item_item_covisit,0.012001363876852193,0.02251634676228644,0.008817934568543177,0.006132843844198252,12.247518301010132
hparam_item_item_mip3000_miu20_tn50,item_item_covisit,0.011985687937300375,0.022463615271039863,0.008813226412832147,0.006134404166234213,10.149378538131714
hparam_item_item_mip3000_miu30_tn200,item_item_covisit,0.011929996667884971,0.02230542079730015,0.008786243699581175,0.006118339346038634,8.362360715866089
hparam_item_item_mip3000_miu30_tn50,item_item_covisit,0.011895042270236753,0.022252689306053574,0.008773063172588875,0.006113309626681767,7.844255208969116
hparam_item_item_mip3000_miu30_tn100,item_item_covisit,0.01190969855528609,0.022199957814807002,0.008766681294527272,0.006109333142136838,8.711166381835938
final_test_item_item_best,item_item_covisit,0.010369705457051813,0.019724008380897336,0.0071023897856494905,0.004616255829692616,22.659913301467896
dummy_most_popular,dummy_most_popular,0.002816985874845863,0.0051676861421641,0.002123801459591312,0.001522781887486064,2.321345806121826
dummy_most_popular,dummy_most_popular,0.002816985874845863,0.0051676861421641,0.002123801459591312,0.001522781887486064,1.919553279876709
final_test_dummy,dummy_most_popular,0.002109908989103967,0.0035402066324687525,0.0016841019399964014,0.001330381440922587,6.404650688171387
dummy_most_popular,dummy_most_popular,,,,,
dummy_most_popular,dummy_most_popular,,,,,
